State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Bhandara,Bhandara,Green Peas,Other,FAQ,20/11/2006,1450,1450,1450,50
Maharashtra,Bhandara,Bhandara,Green Peas,White Fozi,FAQ,02/03/2006,800,1250,800,50
Maharashtra,Bhandara,Bhandara,Green Peas,White Fozi,FAQ,10/03/2006,900,900,900,50
Maharashtra,Bhandara,Bhandara,Green Peas,White Fozi,FAQ,29/05/2006,800,800,800,50
Maharashtra,Bhandara,Bhandara,Green Peas,White Fozi,FAQ,01/06/2006,900,900,900,50
Maharashtra,Bhandara,Bhandara,Green Peas,White Fozi,FAQ,04/07/2006,1216,1216,1216,50
Maharashtra,Bhandara,Bhandara,Green Peas,White Fozi,FAQ,25/08/2006,1325,1325,1325,50
Maharashtra,Bhandara,Bhandara,Green Peas,White Fozi,FAQ,28/08/2006,1355,1355,1355,50
Maharashtra,Bhandara,Bhandara,Green Peas,White Fozi,FAQ,04/09/2006,1300,1300,1300,50
Maharashtra,Bhandara,Bhandara,Green Peas,White Fozi,FAQ,08/09/2006,1415,1450,1430,50
Maharashtra,Bhandara,Bhandara,Green Peas,White Fozi,FAQ,25/09/2006,1375,1450,1450,50
Maharashtra,Bhandara,Bhandara,Green Peas,White Fozi,FAQ,03/10/2006,1425,1425,1425,50
Maharashtra,Bhandara,Bhandara,Green Peas,White Fozi,FAQ,14/10/2006,1260,1360,1260,50
Maharashtra,Bhandara,Bhandara,Green Peas,White Fozi,FAQ,19/10/2006,1350,1400,1400,50
Maharashtra,Bhandara,Bhandara,Arhar (Tur/Red Gram)(Whole),Other,FAQ,07/03/2006,1600,1630,1610,49
Maharashtra,Bhandara,Bhandara,Arhar (Tur/Red Gram)(Whole),Other,FAQ,13/03/2006,1560,1600,1600,49
Maharashtra,Bhandara,Bhandara,Arhar (Tur/Red Gram)(Whole),Other,FAQ,05/06/2006,1600,1660,1660,49
Maharashtra,Bhandara,Bhandara,Arhar (Tur/Red Gram)(Whole),Other,FAQ,06/06/2006,1700,1700,1700,49
Maharashtra,Bhandara,Bhandara,Arhar (Tur/Red Gram)(Whole),Other,FAQ,20/07/2006,1570,1570,1570,49
Maharashtra,Bhandara,Bhandara,Bengal Gram(Gram)(Whole),Other,FAQ,17/02/2006,1601,1710,1651,6
Maharashtra,Bhandara,Bhandara,Bengal Gram(Gram)(Whole),Other,FAQ,10/03/2006,1530,1530,1530,6
Maharashtra,Bhandara,Bhandara,Bengal Gram(Gram)(Whole),Other,FAQ,11/03/2006,1540,1540,1540,6
Maharashtra,Bhandara,Bhandara,Bengal Gram(Gram)(Whole),Other,FAQ,24/03/2006,1650,1650,1650,6
Maharashtra,Bhandara,Bhandara,Bengal Gram(Gram)(Whole),Other,FAQ,05/06/2006,2000,2200,2050,6
Maharashtra,Bhandara,Bhandara,Bengal Gram(Gram)(Whole),Other,FAQ,29/06/2006,1860,2100,1900,6
